Title,Genre,Runtime,IMDB Score,Language
Octonauts & the Great Barrier Reef,Animation,47,7.3,English
Okja,Action-adventure,121,7.3,English/Korean
On My Skin,Crime drama,100,7.3,Italian
Raat Akeli Hai,Thriller,149,7.3,Hindi
ReMastered: Massacre at the Stadium,Documentary,64,7.3,English/Spanish
ReMastered: The Two Killings of Sam Cooke,Documentary,64,7.3,English
Secrets of the Saqqara Tomb,Documentary,114,7.3,English/Arabic
Sitara: Let Girls Dream,Animation / Short,15,7.3,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,79,7.3,English/Mandarin
Team Foxcatcher,Documentary,90,7.3,English/Russian
The Ballad of Buster Scruggs,Western,132,7.3,English
The Death and Life of Marsha P. Johnson,Documentary,105,7.3,English
The Fundamentals of Caring,Comedy-drama,97,7.3,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,83,7.3,English
American Factory,Documentary,110,7.4,English
Fire in Paradise,Documentary,39,7.4,English
Long Shot,Documentary,40,7.4,English
Miss Americana,Documentary,85,7.4,English
Period. End of Sentence.,Documentary,26,7.4,English/Hindi
Shawn Mendes: Live in Concert,Concert Film,87,7.4,English
Shirkers,Documentary,97,7.4,English
The Black Godfather,Documentary,118,7.4,English
The Irishman: In Conversation,Aftershow / Interview,23,7.4,English
The Speed Cubers,Documentary,40,7.4,English
They'll Love Me When I'm Dead,Documentary,98,7.4,English
Tig,Documentary,80,7.4,English
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,108,7.5,English
Blackpink: Light Up the Sky,Documentary,79,7.5,Korean
City of Joy,Documentary,74,7.5,English
Dick Johnson Is Dead,Documentary,90,7.5,English
Homecoming: A Film by Beyonce ,Documentary,137,7.5,English
Invader Zim: Enter the Florpus,Animation / Science Fiction,71,7.5,English
Joan Didion: The Center Will Not Hold,Documentary,98,7.5,English
John Mulaney & the Sack Lunch Bunch,Variety show,70,7.5,English
Reversing Roe,Documentary,99,7.5,English
The White Helmets,Documentary,40,7.5,English
Athlete A,Documentary,104,7.6,English
Ludo,Anthology/Dark comedy,149,7.6,Hindi
Quincy,Documentary,124,7.6,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,144,7.6,English
Tell Me Who I Am,Documentary,85,7.6,English
The Bleeding Edge,Documentary,100,7.6,English
The Social Dilemma,Documentary,94,7.6,English
The Two Popes,Drama,125,7.6,English
"What Happened, Miss Simone?",Documentary,84,7.6,English
Yeh Ballet,Drama,117,7.6,Hindi
Anima,Musical / Short,15,7.7,English
Beasts of No Nation,War drama,136,7.7,English/Akan
Brene Brown: The Call to Courage,Documentary,76,7.7,English
Crip Camp: A Disability Revolution,Documentary,108,7.7,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,94,7.7,English
Justin Timberlake + The Tennessee Kids,Concert Film,90,7.7,English
Road to Roma,Making-of,72,7.7,Spanish
Roma,Drama,135,7.7,Spanish
If Anything Happens I Love You,Animation / Short,12,7.8,English
